zip,lat,lon
47369,40.507119624577,-85.14718595191904
47381,40.38669240149416,-84.86462201947245
47952,39.961866489318204,-87.30049242690511
46962,40.987728481948466,-85.76677615210627
46050,40.20516139176518,-86.34626843828833
47420,38.91921312420425,-86.54941172797754
46157,39.55624579181201,-86.52736288470929
46184,39.55964768128533,-86.07365295353203
47451,38.891757829881,-86.52536443492713
47270,38.839688903640294,-85.71912031733535
46787,41.06599094452274,-85.62085403380227
46929,40.548013300938834,-86.47411055915468
47516,38.764535443218385,-87.41857790388869
47528,38.84443267072082,-87.2680502891147
40334,38.01969554169161,-83.74944976785213
41364,37.375647029414026,-83.64168243181733
40536,38.02980853405879,-84.50728138347279
42321,37.17975765536907,-87.05203713223672
41735,37.01795563969676,-83.09956763561061
42356,37.69361430558826,-87.32297406763175
40280,38.2476823444639,-85.68688138896381
40404,37.57315666083443,-84.29033221392088
42758,37.37659076364263,-85.19750694705405
42163,37.079683686766906,-86.13470262973095
41566,37.408304164294435,-82.19208105517592
41397,37.66676464914998,-83.67704384113394
42022,37.14586211159911,-88.94550896214086
41421,37.99028434517476,-83.17394491925283
41257,37.9137027883085,-82.80441482368005
41772,37.40751799238485,-83.01680929980962
40481,37.4265975988575,-84.091134560339
41859,37.39923398971455,-82.77603538743269
42452,37.68530915878849,-87.53653029383955
40370,38.39382243230439,-84.52969828862422
40019,38.37415324234404,-85.17436451642405
41071,39.073217580173186,-84.48210636017616
42045,37.07196808753844,-88.26453194542275
40223,38.26153293162065,-85.5432502940077
40403,37.57050139320165,-84.26621287687253
40205,38.22315986199518,-85.68268576988116
40214,38.15139352249492,-85.7828982599068
40046,38.02324834924746,-85.17730642041371
42406,37.77794636782448,-87.74501492596205
41080,39.049317331871855,-84.82933260689353
41048,39.08368321044189,-84.70584213262673
41074,39.11016235728564,-84.46070756051269
42040,36.62450897022831,-88.50367856030763
42058,37.05329136600504,-88.47138335334701
42210,37.21725743472331,-86.31437900209598
40442,37.352048260159904,-84.72867059051052
41097,38.6208853270323,-84.58034460628818
42567,37.26443449187887,-84.60453172966561
42376,37.61627283059772,-87.08619838917365
40209,38.18497293858228,-85.74373165983555
41183,38.550010262908266,-82.73706632637858
41653,37.660289659748905,-82.76468490798506
41039,38.41380320388861,-83.88071753723422
40461,37.59012897666565,-84.40851377279624
42348,37.83379382599235,-86.76578118437499
42039,36.78531205126735,-88.82811288835408
40339,37.943085319085036,-84.6411156439034
41645,37.52868035511201,-82.79289652718964
42328,37.41896564418005,-87.04292597155177
40330,37.78914477143877,-84.89015455596878
41189,38.54494735952211,-83.56174469060417
